Side_A,Side_B,Side_C,Triangle_Type
84.0,84.0,84.0,Equilateral
13.0,13.0,13.0,Equilateral
99.0,99.0,99.0,Equilateral
82.86,82.86,82.86,Equilateral
8.0,8.0,8.0,Equilateral
37.61,37.61,37.61,Equilateral
86.0,86.0,86.0,Equilateral
88.83,88.83,88.83,Equilateral
31.0,31.0,31.0,Equilateral
77.0,77.0,77.0,Equilateral
96.0,96.0,96.0,Equilateral
36.42,36.42,36.42,Equilateral
68.0,68.0,68.0,Equilateral
7.0,7.0,7.0,Equilateral
73.0,73.0,73.0,Equilateral
30.0,30.0,30.0,Equilateral
19.0,19.0,19.0,Equilateral
74.0,74.0,74.0,Equilateral
84.0,84.0,84.0,Equilateral
82.0,82.0,82.0,Equilateral
91.0,91.0,91.0,Equilateral
18.0,18.0,18.0,Equilateral
23.0,23.0,23.0,Equilateral
41.39,41.39,41.39,Equilateral
82.0,82.0,82.0,Equilateral
67.0,67.0,67.0,Equilateral
89.0,89.0,89.0,Equilateral
31.88,31.88,31.88,Equilateral
66.0,66.0,66.0,Equilateral
31.41,31.41,31.41,Equilateral
72.0,72.0,72.0,Equilateral
37.21,37.21,37.21,Equilateral
59.99,59.99,59.99,Equilateral
7.0,7.0,7.0,Equilateral
93.0,93.0,93.0,Equilateral
93.0,93.0,93.0,Equilateral
17.0,17.0,17.0,Equilateral
51.0,51.0,51.0,Equilateral
79.0,79.0,79.0,Equilateral
70.36,70.36,70.36,Equilateral
83.0,83.0,83.0,Equilateral
13.0,13.0,13.0,Equilateral
24.0,24.0,24.0,Equilateral
85.0,85.0,85.0,Equilateral
6.0,6.0,6.0,Equilateral
78.53,78.53,78.53,Equilateral
14.0,14.0,14.0,Equilateral
76.0,76.0,76.0,Equilateral
3.0,3.0,3.0,Equilateral
4.0,4.0,4.0,Equilateral
17.0,17.0,17.0,Equilateral
38.0,38.0,38.0,Equilateral
75.0,75.0,75.0,Equilateral
45.58,45.58,45.58,Equilateral
96.0,96.0,96.0,Equilateral
72.95,72.95,72.95,Equilateral
87.0,87.0,87.0,Equilateral
18.36,18.36,18.36,Equilateral
32.43,32.43,32.43,Equilateral
82.0,82.0,82.0,Equilateral
79.0,79.0,79.0,Equilateral
49.71,49.71,49.71,Equilateral
1.0,1.0,1.0,Equilateral
81.03,81.03,81.03,Equilateral
42.0,42.0,42.0,Equilateral
97.0,97.0,97.0,Equilateral
64.0,64.0,64.0,Equilateral
99.0,99.0,99.0,Equilateral
57.0,57.0,57.0,Equilateral
36.0,36.0,36.0,Equilateral
72.0,72.0,72.0,Equilateral
93.36,93.36,93.36,Equilateral
37.0,37.0,37.0,Equilateral
35.0,35.0,35.0,Equilateral
3.0,3.0,3.0,Equilateral
5.0,5.0,5.0,Equilateral
96.0,96.0,96.0,Equilateral
8.0,8.0,8.0,Equilateral
54.0,54.0,54.0,Equilateral
31.0,31.0,31.0,Equilateral
8.94,8.94,8.94,Equilateral
20.0,20.0,20.0,Equilateral
85.47,85.47,85.47,Equilateral
9.86,9.86,9.86,Equilateral
84.0,84.0,84.0,Equilateral
38.0,38.0,38.0,Equilateral
95.0,95.0,95.0,Equilateral
67.0,67.0,67.0,Equilateral
75.0,75.0,75.0,Equilateral
25.0,25.0,25.0,Equilateral
7.0,7.0,7.0,Equilateral
56.0,56.0,56.0,Equilateral
38.13,38.13,38.13,Equilateral
3.0,3.0,3.0,Equilateral
16.41,16.41,16.41,Equilateral
9.0,9.0,9.0,Equilateral
76.0,76.0,76.0,Equilateral
9.0,9.0,9.0,Equilateral
56.0,56.0,56.0,Equilateral
81.68,81.68,81.68,Equilateral
15.49,15.49,15.49,Equilateral
63.06,63.06,63.06,Equilateral
36.0,36.0,36.0,Equilateral
48.0,48.0,48.0,Equilateral
45.0,45.0,45.0,Equilateral
2.0,2.0,2.0,Equilateral
80.0,80.0,80.0,Equilateral
70.0,70.0,70.0,Equilateral
40.0,40.0,40.0,Equilateral
53.46,53.46,53.46,Equilateral
49.0,49.0,49.0,Equilateral
35.0,35.0,35.0,Equilateral
93.0,93.0,93.0,Equilateral
58.0,58.0,58.0,Equilateral
42.0,42.0,42.0,Equilateral
79.0,79.0,79.0,Equilateral
89.0,89.0,89.0,Equilateral
15.0,15.0,15.0,Equilateral
81.87,81.87,81.87,Equilateral
35.0,35.0,35.0,Equilateral
47.0,47.0,47.0,Equilateral
84.0,84.0,84.0,Equilateral
44.0,44.0,44.0,Equilateral
4.0,4.0,4.0,Equilateral
20.55,20.55,20.55,Equilateral
6.0,6.0,6.0,Equilateral
68.0,68.0,68.0,Equilateral
99.0,99.0,99.0,Equilateral
87.0,87.0,87.0,Equilateral
95.0,95.0,95.0,Equilateral
82.37,82.37,82.37,Equilateral
39.0,39.0,39.0,Equilateral
53.0,53.0,53.0,Equilateral
91.0,91.0,91.0,Equilateral
6.69,6.69,6.69,Equilateral
36.0,36.0,36.0,Equilateral
61.0,61.0,61.0,Equilateral
80.0,80.0,80.0,Equilateral
69.0,69.0,69.0,Equilateral
26.0,26.0,26.0,Equilateral
49.39,49.39,49.39,Equilateral
22.0,22.0,22.0,Equilateral
12.0,12.0,12.0,Equilateral
34.0,34.0,34.0,Equilateral
49.0,49.0,49.0,Equilateral
73.0,73.0,73.0,Equilateral
76.56,76.56,76.56,Equilateral
87.0,87.0,87.0,Equilateral
17.0,17.0,17.0,Equilateral
4.22,4.22,4.22,Equilateral
74.0,74.0,74.0,Equilateral
65.06,65.06,65.06,Equilateral
71.0,71.0,71.0,Equilateral
66.0,66.0,66.0,Equilateral
54.54,54.54,54.54,Equilateral
97.0,97.0,97.0,Equilateral
25.0,25.0,25.0,Equilateral
14.0,14.0,14.0,Equilateral
51.0,51.0,51.0,Equilateral
27.0,27.0,27.0,Equilateral
24.0,24.0,24.0,Equilateral
21.0,21.0,21.0,Equilateral
42.0,42.0,42.0,Equilateral
20.0,20.0,20.0,Equilateral
10.0,10.0,10.0,Equilateral
36.0,36.0,36.0,Equilateral
28.19,28.19,28.19,Equilateral
85.0,85.0,85.0,Equilateral
6.0,6.0,6.0,Equilateral
87.0,87.0,87.0,Equilateral
52.0,52.0,52.0,Equilateral
79.0,79.0,79.0,Equilateral
89.15,89.15,89.15,Equilateral
34.0,34.0,34.0,Equilateral
70.61,70.61,70.61,Equilateral
23.0,23.0,23.0,Equilateral
34.16,34.16,34.16,Equilateral
11.0,11.0,11.0,Equilateral
79.0,79.0,79.0,Equilateral
85.0,85.0,85.0,Equilateral
96.0,96.0,96.0,Equilateral
27.0,27.0,27.0,Equilateral
15.0,15.0,15.0,Equilateral
11.42,11.42,11.42,Equilateral
95.0,95.0,95.0,Equilateral
41.0,41.0,41.0,Equilateral
59.49,59.49,59.49,Equilateral
98.0,98.0,98.0,Equilateral
72.0,72.0,72.0,Equilateral
32.0,32.0,32.0,Equilateral
17.0,17.0,17.0,Equilateral
4.0,4.0,4.0,Equilateral
15.04,15.04,15.04,Equilateral
38.3,38.3,38.3,Equilateral
44.0,44.0,44.0,Equilateral
70.71,70.71,70.71,Equilateral
86.0,86.0,86.0,Equilateral
35.0,35.0,35.0,Equilateral
7.0,7.0,7.0,Equilateral
22.0,22.0,22.0,Equilateral
68.0,68.0,68.0,Equilateral
89.72,89.72,89.72,Equilateral
64.0,64.0,64.0,Equilateral
16.0,16.0,16.0,Equilateral
12.0,12.0,12.0,Equilateral
95.0,95.0,95.0,Equilateral
38.0,38.0,38.0,Equilateral
4.0,4.0,4.0,Equilateral
63.7,63.7,63.7,Equilateral
98.0,98.0,98.0,Equilateral
91.0,91.0,91.0,Equilateral
55.0,55.0,55.0,Equilateral
52.92,52.92,52.92,Equilateral
48.0,48.0,48.0,Equilateral
65.0,65.0,65.0,Equilateral
6.0,6.0,6.0,Equilateral
58.0,58.0,58.0,Equilateral
94.0,94.0,94.0,Equilateral
35.0,35.0,35.0,Equilateral
7.18,7.18,7.18,Equilateral
96.0,96.0,96.0,Equilateral
85.0,85.0,85.0,Equilateral
49.0,49.0,49.0,Equilateral
56.0,56.0,56.0,Equilateral
50.0,50.0,50.0,Equilateral
7.0,7.0,7.0,Equilateral
27.0,27.0,27.0,Equilateral
39.0,39.0,39.0,Equilateral
22.35,22.35,22.35,Equilateral
24.0,24.0,24.0,Equilateral
95.0,95.0,95.0,Equilateral
86.17,86.17,86.17,Equilateral
14.58,14.58,14.58,Equilateral
15.0,15.0,15.0,Equilateral
66.0,66.0,66.0,Equilateral
64.0,64.0,64.0,Equilateral
84.0,84.0,84.0,Equilateral
70.01,70.01,70.01,Equilateral
88.0,88.0,88.0,Equilateral
50.71,50.71,50.71,Equilateral
74.0,74.0,74.0,Equilateral
37.12,37.12,37.12,Equilateral
83.0,83.0,83.0,Equilateral
96.0,96.0,96.0,Equilateral
96.44,96.44,96.44,Equilateral
95.0,95.0,95.0,Equilateral
91.0,91.0,91.0,Equilateral
43.0,43.0,43.0,Equilateral
77.14,77.14,77.14,Equilateral
91.89,91.89,91.89,Equilateral
25.25,25.25,25.25,Equilateral
9.0,9.0,9.0,Equilateral
16.82,16.82,16.82,Equilateral
71.0,71.0,71.0,Equilateral
37.0,37.0,37.0,Equilateral
9.0,9.0,9.0,Equilateral
36.0,36.0,36.0,Equilateral
65.0,65.0,65.0,Equilateral
46.33,46.33,46.33,Equilateral
81.93,81.93,81.93,Equilateral
40.0,40.0,40.0,Equilateral
28.0,28.0,28.0,Equilateral
82.01,82.01,82.01,Equilateral
25.0,25.0,25.0,Equilateral
47.43,47.43,47.43,Equilateral
42.0,42.0,42.0,Equilateral
29.71,29.71,29.71,Equilateral
20.7,20.7,20.7,Equilateral
90.0,90.0,90.0,Equilateral
93.0,93.0,93.0,Equilateral
79.0,79.0,79.0,Equilateral
77.0,77.0,77.0,Equilateral
69.13,69.13,69.13,Equilateral
7.45,7.45,7.45,Equilateral
41.0,41.0,41.0,Equilateral
21.33,21.33,21.33,Equilateral
1.59,1.59,1.59,Equilateral
4.0,4.0,4.0,Equilateral
65.85,65.85,65.85,Equilateral
86.84,86.84,86.84,Equilateral
83.97,83.97,83.97,Equilateral
58.0,58.0,58.0,Equilateral
79.0,79.0,79.0,Equilateral
8.0,8.0,8.0,Equilateral
83.0,83.0,83.0,Equilateral
76.0,76.0,76.0,Equilateral
53.0,53.0,53.0,Equilateral
14.0,14.0,14.0,Equilateral
55.0,55.0,55.0,Equilateral
32.28,32.28,32.28,Equilateral
89.56,89.56,89.56,Equilateral
19.0,19.0,19.0,Equilateral
99.0,99.0,99.0,Equilateral
96.0,96.0,96.0,Equilateral
40.0,40.0,40.0,Equilateral
21.0,21.0,21.0,Equilateral
18.51,18.51,18.51,Equilateral
31.0,31.0,31.0,Equilateral
88.0,88.0,88.0,Equilateral
62.0,62.0,62.0,Equilateral
27.0,27.0,27.0,Equilateral
88.0,88.0,88.0,Equilateral
15.0,15.0,15.0,Equilateral
3.0,3.0,3.0,Equilateral
100.0,100.0,100.0,Equilateral
39.0,39.0,39.0,Equilateral
92.0,92.0,92.0,Equilateral
94.29,94.29,94.29,Equilateral
35.96,35.96,35.96,Equilateral
90.76,90.76,90.76,Equilateral
58.29,58.29,58.29,Equilateral
89.0,89.0,89.0,Equilateral
53.0,53.0,53.0,Equilateral
37.0,37.0,37.0,Equilateral
60.0,60.0,60.0,Equilateral
90.0,90.0,90.0,Equilateral
3.85,3.85,3.85,Equilateral
37.0,37.0,37.0,Equilateral
16.0,16.0,16.0,Equilateral
27.0,27.0,27.0,Equilateral
84.0,84.0,84.0,Equilateral
41.0,41.0,41.0,Equilateral
40.56,40.56,40.56,Equilateral
20.0,20.0,20.0,Equilateral
2.0,2.0,2.0,Equilateral
88.0,88.0,88.0,Equilateral
55.0,55.0,55.0,Equilateral
83.0,83.0,83.0,Equilateral
10.0,10.0,10.0,Equilateral
17.0,17.0,17.0,Equilateral
36.0,36.0,36.0,Equilateral
24.76,24.76,24.76,Equilateral
14.0,14.0,14.0,Equilateral
27.0,27.0,27.0,Equilateral
60.0,60.0,60.0,Equilateral
17.34,17.34,17.34,Equilateral
35.0,35.0,35.0,Equilateral
5.0,5.0,5.0,Equilateral
53.0,53.0,53.0,Equilateral
39.0,39.0,39.0,Equilateral
20.36,20.36,20.36,Equilateral
6.0,6.0,6.0,Equilateral
47.0,47.0,47.0,Equilateral
18.35,18.35,18.35,Equilateral
22.53,22.53,22.53,Equilateral
76.91,76.91,76.91,Equilateral
76.0,76.0,76.0,Equilateral
95.0,95.0,95.0,Equilateral
65.0,65.0,65.0,Equilateral
41.01,41.01,41.01,Equilateral
15.0,15.0,15.0,Equilateral
29.0,29.0,29.0,Equilateral
20.0,20.0,20.0,Equilateral
24.32,24.32,24.32,Equilateral
18.0,18.0,18.0,Equilateral
24.0,24.0,24.0,Equilateral
49.34,49.34,49.34,Equilateral
69.0,69.0,69.0,Equilateral
17.92,17.92,17.92,Equilateral
4.0,4.0,4.0,Equilateral
50.32,50.32,50.32,Equilateral
65.23,65.23,65.23,Equilateral
86.01,86.01,86.01,Equilateral
24.0,24.0,24.0,Equilateral
35.5,35.5,35.5,Equilateral
30.0,30.0,30.0,Equilateral
51.81,51.81,51.81,Equilateral
16.0,16.0,16.0,Equilateral
67.0,67.0,67.0,Equilateral
89.0,89.0,89.0,Equilateral
93.0,93.0,93.0,Equilateral
7.0,7.0,7.0,Equilateral
47.0,47.0,47.0,Equilateral
49.0,49.0,49.0,Equilateral
68.0,68.0,68.0,Equilateral
17.67,17.67,17.67,Equilateral
27.0,27.0,27.0,Equilateral
61.24,61.24,61.24,Equilateral
28.0,28.0,28.0,Equilateral
89.0,89.0,89.0,Equilateral
29.0,29.0,29.0,Equilateral
31.64,31.64,31.64,Equilateral
86.84,86.84,86.84,Equilateral
28.0,28.0,28.0,Equilateral
47.0,47.0,47.0,Equilateral
23.19,23.19,23.19,Equilateral
42.0,42.0,42.0,Equilateral
98.0,98.0,98.0,Equilateral
33.91,33.91,33.91,Equilateral
61.0,61.0,61.0,Equilateral
49.0,49.0,49.0,Equilateral
39.0,39.0,39.0,Equilateral
40.0,40.0,40.0,Equilateral
64.14,64.14,64.14,Equilateral
57.0,57.0,57.0,Equilateral
50.0,50.0,50.0,Equilateral
10.0,10.0,10.0,Equilateral
21.0,21.0,21.0,Equilateral
11.0,11.0,11.0,Equilateral
12.0,12.0,12.0,Equilateral
16.0,16.0,16.0,Equilateral
70.08,70.08,70.08,Equilateral
92.0,92.0,92.0,Equilateral
93.0,93.0,93.0,Equilateral
51.0,51.0,51.0,Equilateral
23.0,23.0,23.0,Equilateral
44.75,44.75,44.75,Equilateral
14.0,14.0,14.0,Equilateral
82.0,82.0,82.0,Equilateral
70.55,70.55,70.55,Equilateral
64.0,64.0,64.0,Equilateral
23.75,23.75,23.75,Equilateral
55.0,55.0,55.0,Equilateral
58.81,58.81,58.81,Equilateral
66.0,66.0,66.0,Equilateral
51.0,51.0,51.0,Equilateral
25.0,25.0,25.0,Equilateral
33.0,33.0,33.0,Equilateral
79.0,79.0,79.0,Equilateral
65.0,65.0,65.0,Equilateral
6.0,6.0,6.0,Equilateral
95.58,95.58,95.58,Equilateral
41.36,41.36,41.36,Equilateral
7.0,7.0,7.0,Equilateral
84.0,84.0,84.0,Equilateral
63.0,63.0,63.0,Equilateral
69.0,69.0,69.0,Equilateral
79.09,79.09,79.09,Equilateral
13.67,13.67,13.67,Equilateral
33.0,33.0,33.0,Equilateral
96.0,96.0,96.0,Equilateral
27.0,27.0,27.0,Equilateral
13.0,13.0,13.0,Equilateral
3.0,3.0,3.0,Equilateral
89.0,89.0,89.0,Equilateral
55.0,55.0,55.0,Equilateral
84.0,84.0,84.0,Equilateral
92.0,92.0,92.0,Equilateral
4.0,4.0,4.0,Equilateral
97.2,97.2,97.2,Equilateral
16.0,16.0,16.0,Equilateral
25.0,25.0,25.0,Equilateral
13.0,13.0,13.0,Equilateral
40.24,40.24,40.24,Equilateral
29.0,29.0,29.0,Equilateral
95.53,95.53,95.53,Equilateral
96.0,96.0,96.0,Equilateral
5.0,5.0,5.0,Equilateral
22.0,22.0,22.0,Equilateral
76.0,76.0,76.0,Equilateral
57.46,57.46,57.46,Equilateral
100.0,100.0,100.0,Equilateral
66.04,66.04,66.04,Equilateral
67.26,67.26,67.26,Equilateral
47.0,47.0,47.0,Equilateral
66.0,66.0,66.0,Equilateral
82.56,82.56,82.56,Equilateral
39.0,39.0,39.0,Equilateral
9.0,9.0,9.0,Equilateral
46.0,46.0,46.0,Equilateral
4.0,4.0,4.0,Equilateral
5.0,5.0,5.0,Equilateral
26.0,26.0,26.0,Equilateral
52.0,52.0,52.0,Equilateral
45.0,45.0,45.0,Equilateral
82.0,82.0,82.0,Equilateral
74.0,74.0,74.0,Equilateral
64.26,64.26,64.26,Equilateral
79.65,79.65,79.65,Equilateral
67.0,67.0,67.0,Equilateral
42.0,42.0,42.0,Equilateral
51.0,51.0,51.0,Equilateral
47.82,47.82,47.82,Equilateral
39.0,39.0,39.0,Equilateral
49.0,49.0,49.0,Equilateral
24.0,24.0,24.0,Equilateral
83.0,83.0,83.0,Equilateral
99.0,99.0,99.0,Equilateral
11.0,11.0,11.0,Equilateral
17.0,17.0,17.0,Equilateral
37.92,37.92,37.92,Equilateral
4.0,4.0,4.0,Equilateral
92.58,92.58,92.58,Equilateral
63.88,63.88,63.88,Equilateral
34.43,34.43,34.43,Equilateral
34.0,34.0,34.0,Equilateral
19.0,19.0,19.0,Equilateral
3.0,3.0,3.0,Equilateral
33.0,33.0,33.0,Equilateral
27.0,27.0,27.0,Equilateral
71.0,71.0,71.0,Equilateral
65.0,65.0,65.0,Equilateral
85.0,85.0,85.0,Equilateral
96.0,96.0,96.0,Equilateral
3.0,3.0,3.0,Equilateral
54.62,54.62,54.62,Equilateral
35.54,35.54,35.54,Equilateral
87.0,87.0,87.0,Equilateral
90.87,90.87,90.87,Equilateral
83.92,83.92,83.92,Equilateral
84.0,84.0,84.0,Equilateral
85.0,85.0,85.0,Equilateral
40.0,40.0,40.0,Equilateral
6.47,6.47,6.47,Equilateral
64.0,64.0,64.0,Equilateral
25.0,25.0,25.0,Equilateral
74.0,74.0,74.0,Equilateral
35.94,35.94,35.94,Equilateral
30.0,30.0,30.0,Equilateral
49.1,49.1,49.1,Equilateral
51.19,51.19,51.19,Equilateral
100.0,100.0,100.0,Equilateral
88.0,88.0,88.0,Equilateral
30.3,30.3,30.3,Equilateral
12.22,12.22,12.22,Equilateral
81.0,81.0,81.0,Equilateral
59.0,59.0,59.0,Equilateral
31.0,31.0,31.0,Equilateral
42.46,42.46,42.46,Equilateral
78.0,78.0,78.0,Equilateral
56.0,56.0,56.0,Equilateral
52.0,52.0,52.0,Equilateral
48.0,48.0,48.0,Equilateral
99.0,99.0,99.0,Equilateral
89.0,89.0,89.0,Equilateral
39.0,39.0,39.0,Equilateral
11.0,11.0,11.0,Equilateral
47.0,47.0,47.0,Equilateral
21.0,21.0,21.0,Equilateral
39.74,39.74,39.74,Equilateral
60.0,60.0,60.0,Equilateral
53.0,53.0,53.0,Equilateral
99.0,99.0,99.0,Equilateral
64.0,64.0,64.0,Equilateral
6.0,6.0,6.0,Equilateral
21.0,21.0,21.0,Equilateral
93.74,93.74,93.74,Equilateral
4.0,4.0,4.0,Equilateral
37.0,37.0,37.0,Equilateral
42.0,42.0,42.0,Equilateral
50.79,50.79,50.79,Equilateral
90.0,90.0,90.0,Equilateral
13.0,13.0,13.0,Equilateral
10.0,10.0,10.0,Equilateral
54.0,54.0,54.0,Equilateral
98.0,98.0,98.0,Equilateral
40.0,40.0,40.0,Equilateral
87.0,87.0,87.0,Equilateral
7.0,7.0,7.0,Equilateral
27.0,27.0,27.0,Equilateral
96.0,96.0,96.0,Equilateral
71.0,71.0,71.0,Equilateral
91.0,91.0,91.0,Equilateral
84.0,84.0,84.0,Equilateral
33.0,33.0,33.0,Equilateral
70.0,70.0,70.0,Equilateral
37.0,37.0,37.0,Equilateral
47.0,47.0,47.0,Equilateral
90.0,90.0,90.0,Equilateral
20.25,20.25,20.25,Equilateral
47.0,47.0,47.0,Equilateral
98.81,98.81,98.81,Equilateral
54.99,54.99,54.99,Equilateral
63.86,63.86,63.86,Equilateral
59.0,59.0,59.0,Equilateral
15.0,15.0,15.0,Equilateral
84.0,84.0,84.0,Equilateral
39.0,39.0,39.0,Equilateral
52.53,52.53,52.53,Equilateral
40.0,40.0,40.0,Equilateral
97.0,97.0,97.0,Equilateral
84.0,84.0,84.0,Equilateral
10.0,10.0,10.0,Equilateral
18.0,18.0,18.0,Equilateral
93.0,93.0,93.0,Equilateral
67.0,67.0,67.0,Equilateral
96.22,96.22,96.22,Equilateral
74.0,74.0,74.0,Equilateral
44.0,44.0,44.0,Equilateral
5.0,5.0,5.0,Equilateral
12.0,12.0,12.0,Equilateral
18.0,18.0,18.0,Equilateral
85.35,85.35,85.35,Equilateral
29.0,29.0,29.0,Equilateral
94.01,94.01,94.01,Equilateral
55.43,55.43,55.43,Equilateral
10.54,10.54,10.54,Equilateral
23.0,23.0,23.0,Equilateral
72.0,72.0,72.0,Equilateral
33.0,33.0,33.0,Equilateral
4.0,4.0,4.0,Equilateral
19.0,19.0,19.0,Equilateral
18.0,18.0,18.0,Equilateral
49.97,49.97,49.97,Equilateral
3.0,3.0,3.0,Equilateral
48.0,48.0,48.0,Equilateral
96.75,96.75,96.75,Equilateral
7.83,7.83,7.83,Equilateral
12.0,12.0,12.0,Equilateral
80.41,80.41,80.41,Equilateral
14.0,14.0,14.0,Equilateral
92.0,92.0,92.0,Equilateral
74.0,74.0,74.0,Equilateral
76.69,76.69,76.69,Equilateral
19.0,19.0,19.0,Equilateral
89.0,89.0,89.0,Equilateral
63.0,63.0,63.0,Equilateral
46.93,46.93,46.93,Equilateral
43.0,43.0,43.0,Equilateral
11.0,11.0,11.0,Equilateral
3.0,3.0,3.0,Equilateral
26.0,26.0,26.0,Equilateral
62.0,62.0,62.0,Equilateral
22.0,22.0,22.0,Equilateral
25.81,25.81,25.81,Equilateral
45.0,45.0,45.0,Equilateral
1.0,1.0,1.0,Equilateral
4.0,4.0,4.0,Equilateral
40.09,40.09,40.09,Equilateral
79.0,79.0,79.0,Equilateral
68.0,68.0,68.0,Equilateral
14.91,14.91,14.91,Equilateral
43.0,43.0,43.0,Equilateral
37.89,37.89,37.89,Equilateral
29.0,29.0,29.0,Equilateral
64.0,64.0,64.0,Equilateral
92.0,92.0,92.0,Equilateral
21.0,21.0,21.0,Equilateral
68.0,68.0,68.0,Equilateral
70.0,70.0,70.0,Equilateral
3.0,3.0,3.0,Equilateral
43.33,43.33,43.33,Equilateral
87.15,87.15,87.15,Equilateral
94.0,94.0,94.0,Equilateral
70.48,70.48,70.48,Equilateral
4.0,4.0,4.0,Equilateral
50.0,50.0,50.0,Equilateral
82.0,82.0,82.0,Equilateral
20.0,20.0,20.0,Equilateral
10.0,10.0,10.0,Equilateral
54.97,54.97,54.97,Equilateral
47.91,47.91,47.91,Equilateral
41.0,41.0,41.0,Equilateral
3.0,3.0,3.0,Equilateral
92.0,92.0,92.0,Equilateral
38.0,38.0,38.0,Equilateral
100.0,100.0,100.0,Equilateral
44.0,44.0,44.0,Equilateral
100.0,100.0,100.0,Equilateral
75.0,75.0,75.0,Equilateral
76.38,76.38,76.38,Equilateral
53.19,53.19,53.19,Equilateral
95.0,95.0,95.0,Equilateral
99.0,99.0,99.0,Equilateral
55.0,55.0,55.0,Equilateral
77.0,77.0,77.0,Equilateral
1.61,1.61,1.61,Equilateral
92.0,92.0,92.0,Equilateral
87.0,87.0,87.0,Equilateral
22.0,22.0,22.0,Equilateral
67.75,67.75,67.75,Equilateral
85.0,85.0,85.0,Equilateral
53.0,53.0,53.0,Equilateral
40.0,40.0,40.0,Equilateral
34.0,34.0,34.0,Equilateral
12.0,12.0,12.0,Equilateral
89.0,89.0,89.0,Equilateral
88.18,88.18,88.18,Equilateral
62.81,62.81,62.81,Equilateral
52.0,52.0,52.0,Equilateral
73.0,73.0,73.0,Equilateral
78.0,78.0,78.0,Equilateral
92.0,92.0,92.0,Equilateral
10.0,10.0,10.0,Equilateral
33.0,33.0,33.0,Equilateral
41.0,41.0,41.0,Equilateral
24.0,24.0,24.0,Equilateral
80.0,80.0,80.0,Equilateral
40.0,40.0,40.0,Equilateral
25.0,25.0,25.0,Equilateral
96.49,96.49,96.49,Equilateral
48.0,48.0,48.0,Equilateral
82.32,82.32,82.32,Equilateral
21.0,21.0,21.0,Equilateral
24.77,24.77,24.77,Equilateral
7.0,7.0,7.0,Equilateral
62.0,62.0,62.0,Equilateral
3.12,3.12,3.12,Equilateral
8.33,8.33,8.33,Equilateral
96.0,96.0,96.0,Equilateral
38.22,38.22,38.22,Equilateral
92.0,92.0,92.0,Equilateral
6.34,6.34,6.34,Equilateral
60.0,60.0,60.0,Equilateral
35.0,35.0,35.0,Equilateral
29.0,29.0,29.0,Equilateral
85.0,85.0,85.0,Equilateral
88.0,88.0,88.0,Equilateral
91.16,91.16,91.16,Equilateral
23.0,23.0,23.0,Equilateral
25.0,25.0,25.0,Equilateral
96.84,96.84,96.84,Equilateral
53.0,53.0,53.0,Equilateral
26.0,26.0,26.0,Equilateral
14.0,14.0,14.0,Equilateral
73.95,73.95,73.95,Equilateral
91.0,91.0,91.0,Equilateral
28.0,28.0,28.0,Equilateral
17.0,17.0,17.0,Equilateral
76.0,76.0,76.0,Equilateral
36.69,36.69,36.69,Equilateral
70.15,70.15,70.15,Equilateral
90.0,90.0,90.0,Equilateral
84.0,84.0,84.0,Equilateral
80.0,80.0,80.0,Equilateral
20.75,20.75,20.75,Equilateral
49.0,49.0,49.0,Equilateral
45.69,45.69,45.69,Equilateral
92.0,92.0,92.0,Equilateral
90.0,90.0,90.0,Equilateral
19.0,19.0,19.0,Equilateral
28.0,28.0,28.0,Equilateral
76.8,76.8,76.8,Equilateral
38.0,38.0,38.0,Equilateral
93.34,93.34,93.34,Equilateral
34.0,34.0,34.0,Equilateral
90.0,90.0,90.0,Equilateral
44.0,44.0,44.0,Equilateral
1.0,1.0,1.0,Equilateral
87.0,87.0,87.0,Equilateral
47.0,47.0,47.0,Equilateral
65.0,65.0,65.0,Equilateral
87.0,87.0,87.0,Equilateral
33.0,33.0,33.0,Equilateral
97.0,97.0,97.0,Equilateral
1.0,1.0,1.0,Equilateral
91.0,91.0,91.0,Equilateral
33.0,33.0,33.0,Equilateral
35.0,35.0,35.0,Equilateral
98.0,98.0,98.0,Equilateral
42.0,42.0,42.0,Equilateral
21.0,21.0,21.0,Equilateral
77.0,77.0,77.0,Equilateral
89.0,89.0,89.0,Equilateral
46.0,46.0,46.0,Equilateral
77.0,77.0,77.0,Equilateral
32.25,32.25,32.25,Equilateral
34.77,34.77,34.77,Equilateral
9.0,9.0,9.0,Equilateral
84.11,84.11,84.11,Equilateral
38.0,38.0,38.0,Equilateral
3.0,3.0,3.0,Equilateral
37.0,37.0,37.0,Equilateral
98.0,98.0,98.0,Equilateral
57.0,57.0,57.0,Equilateral
60.24,60.24,60.24,Equilateral
9.0,9.0,9.0,Equilateral
44.0,44.0,44.0,Equilateral
11.0,11.0,11.0,Equilateral
98.0,98.0,98.0,Equilateral
30.0,30.0,30.0,Equilateral
33.0,33.0,33.0,Equilateral
85.29,85.29,85.29,Equilateral
22.0,22.0,22.0,Equilateral
69.0,69.0,69.0,Equilateral
23.0,23.0,23.0,Equilateral
38.0,38.0,38.0,Equilateral
81.0,81.0,81.0,Equilateral
33.0,33.0,33.0,Equilateral
29.0,29.0,29.0,Equilateral
19.29,19.29,19.29,Equilateral
24.0,24.0,24.0,Equilateral
21.0,21.0,21.0,Equilateral
24.0,24.0,24.0,Equilateral
24.0,24.0,24.0,Equilateral
56.64,56.64,56.64,Equilateral
